Game,Year,Genre,Publisher,North America,Global,Score,Gamers,Completion Percentage,Rating,Minimum Completion Time,Maximum Completion Time
Grand Theft Auto V,2014.0,Action,Rockstar Games,6.06,19.39,5913,231535,0.4,4.5,200,700
Call of Duty: WWII,2017.0,Shooter,Activision,4.67,13.4,7360,154762,0.6,3.6,35,40
FIFA 18,2017.0,Sports,EA Sports,1.27,11.8,3098,67123,6.1,3.6,40,50
FIFA 17,2016.0,Sports,Electronic Arts,1.26,10.94,3370,69911,4.3,3.7,50,60
Fallout 4,2015.0,Role-Playing,Bethesda Softworks,2.91,8.48,3311,170083,3.5,4.2,60,80
FIFA 16,2015.0,Sports,EA Sports,1.15,8.22,3177,67700,5.1,3.8,35,40
Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,2.84,7.53,4896,109190,0.8,3.6,20,25
Battlefield 1,2016.0,Shooter,Electronic Arts,2.2,7.26,4515,145216,2.0,4.2,35,40
FIFA 15,2014.0,Sports,EA Sports,0.83,6.32,3173,65472,4.3,3.8,20,25
The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,1.48,5.39,3253,143548,5.9,4.7,80,100
Final Fantasy XV,2016.0,Role-Playing,Square Enix,1.81,5.07,6055,63532,0.6,4.1,60,80
Tom Clancy's The Division,2016.0,Shooter,Ubisoft,1.49,4.37,3417,133058,0.8,3.7,60,80
Call of Duty: Ghosts,2013.0,Shooter,Activision,1.79,4.17,4922,74992,1.6,3.5,20,25
Batman: Arkham Knight,2015.0,Action,Warner Bros. Interactive,1.65,4.11,4835,174910,1.3,4.2,40,50
Assassin's Creed Origins,2017.0,Action,Ubisoft,1.22,4.06,2582,121365,10.8,4.4,60,80
Far Cry 4,2014.0,Shooter,Ubisoft,1.18,4.06,2321,133116,7.5,4.1,25,30
Far Cry 5,2018.0,Action,Ubisoft,1.44,3.95,3777,113871,2.4,4.0,40,50
Battlefield 4,2013.0,Shooter,Electronic Arts,1.4,3.94,3972,133500,1.7,3.9,50,60
Gran Turismo Sport,2017.0,Racing,Sony Interactive Entertainment,0.63,3.77,6353,57348,1.2,4.0,200,700
Assassin's Creed Syndicate,2015.0,Action,Ubisoft,0.9,3.6,2409,110174,9.4,4.1,35,40
Mortal Kombat X,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.94,3.49,4865,125523,2.1,4.0,50,60
Assassin's Creed IV: Black Flag,2013.0,Action-Adventure,Ubisoft,1.07,3.19,3177,122556,2.9,4.2,40,50
Tom Clancy's Ghost Recon Wildlands,2017.0,Shooter,Ubisoft,1.07,3.12,3330,82422,2.7,3.7,60,80
Bloodborne,2015.0,Role-Playing,Sony Computer Entertainment,1.3,3.11,2153,163572,24.4,4.7,60,80
Metal Gear Solid V: The Phantom Pain,2015.0,Action,Konami Digital Entertainment,0.97,3.04,3068,168755,8.5,4.3,150,200
Mafia III,2016.0,Action-Adventure,2K Games,0.72,2.87,3499,107596,3.6,3.5,40,50
Dying Light,2015.0,Action,Warner Bros. Interactive,1.18,2.45,3822,132269,1.1,4.0,40,50
